ID;description
3000210;26 00 TRANS P/KM UNIDAD LIVIANA IDA
3000211;PROVISION HCFC 123 (HALOCLEAN)
3000212;REMIS CIPO - NQN
3000213;SERVICIOS DE COMUNICACION TELEFONICA
3000214;CARGO POR FIJACION DE TAPON
3000215;"Calibr de caudalimetro masico hasta 4"""
3000216;CALIBRACION DE RTD
3000217;CONSTRUCCION DE LOCACION
3000218;INSPECCION DE SUSTITUTO
3000219;CAMION CHUPA 4X2 8/12M3
3000220;DÍA STAND BY
3000221;CALIPER REGISTRO
3000222;TIJERAS/PUNTO DEBIL PROFUNDIDAD
3000223;ENDEREZADO DE TUBING
3000224;OBRA INSTRUMENTACION
3000225;OPERARIO TAREAS GENERALES
3000226;SERVICIO DE CONSULTORIA
3000227;SERVICIO DE JARDINERIA
3000228;SIMA - SERVICIO W.O. ANEXO MANO DE OBRA
3000229;REMIS CIPO - BMO
3000230;CALIPER PROFUNDIDAD
3000231;BOMBA REPARACION 25-175 BARRIL DE ACERO
3000232;RETROEXCAVADORA GRANDE CON ORUGA
3000233;SERVICIO MANTENIMIENTO
3000234;CERCO OLIMPICO S/TIPICO POR METRO
3000235;SERVICIO DE VIGILANCIA
3000236;ARMADO DE BOCA DE POZO
3000237;CARGO DIARIO HERRAMIENTA PRODRIFT
3000238;ESPERA LOCACIÓN CON PERSONAL
3000239;CARGO POR REGISTRO
3000240;RAYO GAMMA REGISTRO
3000241;CAMIONETA
3000242;LITRO DE ACIDO CLORHIDRICO (HCL) AL 15%
3000243;SERVICIO RIG READY TUBULARES HASTA 7'
3000244;SOPORTE METÁLICO S/TÍPICO
3000245;PROVISION EMULSOR AFFF - 20ºC A 45ºC
3000246;CABEZA ROTATIAVA 2.5 DTM
3000247;PROVISION DE CAPILAR DE POLIAMIDA 3/8'
3000248;CARGO FID POZO DE AGUA
3000249;SERVICIO INSTALACION Y PULLING
3000250;TECNICO DE RADIOS EN CAMPO
3000251;CALIBRACION DE PLACA ORIFICIO
3000252;SIMA - CAMION CON MOTOSOLDADORA
3000253;SIMA - TRAFFIC CAT - AEL - CAT
3000254;ALQUILER DE CAMIONETA 4X4
3000255;SERVICIO CADETERÍA
3000256;SERVICIO LIMPIEZA OFICINAS
3000257;OFICIAL PINTOR
3000258;CAMION CON BATEA 30 M3 EVENTUAL
3000259;SERVICIO DE ENTUBACION
3000260;TRANSPORTE CAMION PERFILAJE
3000261;DENSIDAD/PE PROFUNDIDAD
3000262;ALQUILER EQUIPO DOSIFICADOR
3000263;SERVICIO DE INGENIERIA
3000264;REFERENTE DE SEGURIDAD MENSUAL
3000265;COPIAS EXCEDENTES BLANCO/NEGRO
3000266;ALQUILER DE CAMIONETA MENSUAL
3000267;AUTOELEVADOR 5 TN
3000268;ACCESORIO DE REVESTIMIENTO
3000269;TRANSPORTE CAMION AUXILIAR
3000270;25 00 OP/SUP HERR P/12 H O FR S/TRAILER
3000271;BOMBA REPARACION 25-125 BARRIL DE ACERO
3000272;CONEXION DE LINEA A COLECTOR EXISTENTE
3000273;SERVICIO DE ENFERMERIA - ABP
3000274;SERVICIO DE INSPECCION EQUIPO DE PULLING
3000275;CARGO DIARIO HERRAMIENTA TELEDRIFT
3000276;MOVIMIENTO DE PROD QUIMICOS - RIO NEGRO
3000277;ADICIONAL TREPANO - FRESA 7'
3000278;GAMMA RAY SPECTRAL - PROFUNDIDAD
3000279;PROVISION DE AGUA INDUSTRIAL
3000280;SERVICIO REPOSICION QUIMICOS BMO
3000281;PROVISION BOBINA DE CARGA VHF BB
3000282;REPARACION DE MOTORES DE 1/2 Y 1/3 HP
3000283;PROVISION ANHIDRIDO CARBONICO
3000284;MOVILIDAD LIVIANA POR KM
3000285;LICENCIA SOFTWARE (SAAS) Aqueon
3000286;SERVICIO CAFETERIA
3000287;SERVICIOS COMPLEMENTARIOS
3000288;GASTOS ADMINISTRATIVOS DE COMBUSTIBLE
3000289;HORAS EXTRAS
3000290;DESPARAFINACION OPER SIMPLE LC 1RAS 3HS
3000291;DESPARAFINACION OPER COMBINADA 1RAS 8HS
3000292;LODO EMULSION INVERSA  15.5 = MW < 18.5
3000293;DRILL - BEARING ASSEMBLY RCD3 (SERV)
